# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Dec 17 16:28:38 2017
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
#
rowid,pl_hostname,pl_letter,ra_str,ra,dec_str,dec
966,Kepler-1006,b,19h43m00.99s,295.754127,+42d32m14.9s,42.537476
967,Kepler-1007,b,19h43m37.57s,295.906552,+45d48m32.8s,45.809120
968,Kepler-1008,b,19h46m11.41s,296.547525,+44d56m31.0s,44.941933
969,Kepler-1009,b,18h51m26.38s,282.859930,+42d39m56.8s,42.665764
970,Kepler-101,b,18h53m01.32s,283.255489,+48d21m18.8s,48.355228
971,Kepler-101,c,18h53m01.32s,283.255489,+48d21m18.8s,48.355228
972,Kepler-1010,b,19h16m46.23s,289.192636,+44d08m57.6s,44.149326
973,Kepler-1011,b,19h49m36.37s,297.401546,+46d49m26.4s,46.824001
974,Kepler-1012,b,19h17m11.10s,289.296270,+46d27m28.6s,46.457954
975,Kepler-1013,b,19h20m59.54s,290.248072,+44d26m06.9s,44.435242
976,Kepler-1014,b,19h00m29.29s,285.122033,+44d06m38.2s,44.110603
977,Kepler-1015,b,19h31m01.76s,292.757330,+43d25m36.9s,43.426910
978,Kepler-1016,b,19h38m27.27s,294.613645,+45d59m04.6s,45.984623
979,Kepler-1016,c,19h38m27.27s,294.613645,+45d59m04.6s,45.984623
980,Kepler-1017,b,18h53m52.65s,283.469362,+40d07m57.4s,40.132607
981,Kepler-1018,b,18h54m23.21s,283.596696,+45d24m28.4s,45.407879
982,Kepler-1019,b,18h54m52.21s,283.717526,+47d12m16.0s,47.204449
983,Kepler-102,b,18h45m55.86s,281.482749,+47d12m28.9s,47.208031
984,Kepler-102,c,18h45m55.86s,281.482749,+47d12m28.9s,47.208031
985,Kepler-102,d,18h45m55.86s,281.482749,+47d12m28.9s,47.208031
986,Kepler-102,e,18h45m55.86s,281.482749,+47d12m28.9s,47.208031
987,Kepler-102,f,18h45m55.86s,281.482749,+47d12m28.9s,47.208031
988,Kepler-1020,b,19h30m41.41s,292.672551,+46d22m38.7s,46.377422
989,Kepler-1021,b,19h40m49.18s,295.204905,+42d33m34.9s,42.559681
990,Kepler-1022,b,19h17m24.48s,289.352005,+46d58m25.4s,46.973728
991,Kepler-1023,b,19h16m07.14s,289.029742,+49d46m10.9s,49.769707
992,Kepler-1024,b,19h27m48.24s,291.950991,+38d15m06.1s,38.251698
993,Kepler-1025,b,18h58m02.45s,284.510201,+43d57m42.0s,43.961666
994,Kepler-1026,b,18h54m25.26s,283.605263,+39d59m52.7s,39.997980
995,Kepler-1027,b,19h10m17.08s,287.571185,+42d48m50.1s,42.813923
996,Kepler-1028,b,19h18m22.34s,289.593097,+49d46m52.2s,49.781158
997,Kepler-1029,b,19h28m31.91s,292.132976,+41d32m51.1s,41.547540
998,Kepler-103,b,19h15m56.29s,288.984555,+40d03m52.3s,40.064521
999,Kepler-103,c,19h15m56.29s,288.984555,+40d03m52.3s,40.064521
1000,Kepler-1030,b,19h34m43.66s,293.681915,+45d49m03.2s,45.817559
1001,Kepler-1031,b,19h44m21.54s,296.089747,+48d57m19.4s,48.955376
1002,Kepler-1032,b,19h19m43.41s,289.930872,+40d05m51.9s,40.097751
1003,Kepler-1033,b,18h55m22.83s,283.845142,+44d36m32.7s,44.609093
1004,Kepler-1034,b,19h04m27.69s,286.115368,+37d58m01.2s,37.966997
1005,Kepler-1035,b,19h16m10.13s,289.042225,+42d52m57.0s,42.882488
1006,Kepler-1036,b,19h40m43.59s,295.181638,+49d56m44.8s,49.945786
1007,Kepler-1037,b,19h45m21.85s,296.341029,+47d10m15.1s,47.170856
1008,Kepler-1038,b,19h55m53.32s,298.972184,+44d07m56.6s,44.132378
1009,Kepler-1039,b,19h53m18.38s,298.326591,+45d18m55.9s,45.315514
1010,Kepler-104,b,19h10m25.11s,287.604612,+42d10m00.4s,42.166779
1011,Kepler-104,c,19h10m25.11s,287.604612,+42d10m00.4s,42.166779
1012,Kepler-104,d,19h10m25.11s,287.604612,+42d10m00.4s,42.166779
1013,Kepler-1040,b,18h52m27.31s,283.113784,+48d07m53.0s,48.131393
1014,Kepler-1041,b,19h35m31.62s,293.881768,+49d40m59.4s,49.683155
1015,Kepler-1042,b,19h14m40.54s,288.668933,+39d49m26.4s,39.824006
1016,Kepler-1043,b,18h46m39.12s,281.662983,+47d34m06.9s,47.568584
1017,Kepler-1044,b,19h32m34.67s,293.144456,+46d39m58.5s,46.666237
1018,Kepler-1045,b,18h56m43.99s,284.183296,+45d04m26.8s,45.074104
1019,Kepler-1046,b,19h47m01.38s,296.755759,+46d59m53.8s,46.998291
1020,Kepler-1047,b,19h14m35.10s,288.646254,+50d47m20.3s,50.788982
1021,Kepler-1047,c,19h14m35.10s,288.646254,+50d47m20.3s,50.788982
1022,Kepler-1048,b,18h47m35.60s,281.898352,+42d09m56.8s,42.165787
1023,Kepler-1049,b,19h09m23.22s,287.346741,+47d46m22.6s,47.772957
1024,Kepler-105,b,19h11m32.96s,287.887325,+46d16m34.5s,46.276237
1025,Kepler-105,c,19h11m32.96s,287.887325,+46d16m34.5s,46.276237
1026,Kepler-1050,b,18h51m42.00s,282.924996,+48d37m35.0s,48.626392
1027,Kepler-1050,c,18h51m42.00s,282.924996,+48d37m35.0s,48.626392
1028,Kepler-1051,b,19h40m37.95s,295.158106,+40d53m55.9s,40.898849
1029,Kepler-1052,b,19h41m22.26s,295.342731,+46d36m08.2s,46.602264
1030,Kepler-1053,b,19h25m40.47s,291.418635,+39d07m38.7s,39.127415
1031,Kepler-1054,b,19h22m24.28s,290.601152,+44d33m23.0s,44.556385
1032,Kepler-1055,b,19h21m56.83s,290.486779,+44d55m57.4s,44.932617
1033,Kepler-1056,b,19h58m06.24s,299.525980,+46d53m57.3s,46.899261
1034,Kepler-1057,b,19h49m48.52s,297.452152,+41d33m29.2s,41.558124
1035,Kepler-1058,b,19h38m22.99s,294.595783,+45d52m30.1s,45.875034
1036,Kepler-1059,b,19h16m52.85s,289.220209,+41d42m23.3s,41.706486
1037,Kepler-106,b,20h03m27.35s,300.863971,+44d20m15.2s,44.337555
1038,Kepler-106,c,20h03m27.35s,300.863971,+44d20m15.2s,44.337555
1039,Kepler-106,d,20h03m27.35s,300.863971,+44d20m15.2s,44.337555
1040,Kepler-106,e,20h03m27.35s,300.863971,+44d20m15.2s,44.337555
1041,Kepler-1060,b,19h04m06.05s,286.025189,+39d37m51.3s,39.630929
1042,Kepler-1061,b,19h44m55.20s,296.230004,+50d16m30.8s,50.275230
1043,Kepler-1062,b,18h55m35.86s,283.899402,+41d13m17.8s,41.221607
1044,Kepler-1063,b,19h22m06.42s,290.526750,+38d08m34.7s,38.142973
1045,Kepler-1064,b,19h26m57.99s,291.741637,+37d41m20.2s,37.688934
1046,Kepler-1065,b,19h38m02.70s,294.511258,+38d47m25.8s,38.790501
1047,Kepler-1065,c,19h38m02.70s,294.511258,+38d47m25.8s,38.790501
1048,Kepler-1066,b,19h55m27.98s,298.866564,+46d30m08.1s,46.502239
1049,Kepler-1067,b,19h01m32.98s,285.387409,+45d02m56.6s,45.049053
1050,Kepler-1068,b,19h38m35.56s,294.648164,+46d23m32.5s,46.392365
1051,Kepler-1069,b,19h23m55.04s,290.979329,+47d59m20.4s,47.989002
1052,Kepler-107,b,19h48m06.78s,297.028248,+48d12m31.0s,48.208611
1053,Kepler-107,c,19h48m06.78s,297.028248,+48d12m31.0s,48.208611
1054,Kepler-107,d,19h48m06.78s,297.028248,+48d12m31.0s,48.208611
1055,Kepler-107,e,19h48m06.78s,297.028248,+48d12m31.0s,48.208611
1056,Kepler-1070,b,19h32m46.89s,293.195374,+49d18m59.4s,49.316502
1057,Kepler-1071,b,19h32m13.92s,293.057996,+45d14m55.7s,45.248817
1058,Kepler-1072,b,19h28m10.65s,292.044380,+46d19m44.5s,46.329025
1059,Kepler-1073,b,19h36m36.65s,294.152700,+38d13m59.0s,38.233048
1060,Kepler-1073,c,19h36m36.65s,294.152700,+38d13m59.0s,38.233048
1061,Kepler-1074,b,18h57m54.37s,284.476545,+46d15m09.3s,46.252579
1062,Kepler-1075,b,19h10m00.28s,287.501179,+47d28m09.4s,47.469269
1063,Kepler-1076,b,19h10m21.62s,287.590098,+51d03m38.1s,51.060574
1064,Kepler-1077,b,19h24m08.07s,291.033636,+42d16m04.3s,42.267860
1065,Kepler-1078,b,19h32m48.14s,293.200589,+43d03m00.1s,43.050037
1066,Kepler-1079,b,19h58m11.88s,299.549499,+45d46m11.1s,45.769753
1067,Kepler-108,b,19h38m14.20s,294.559169,+46d03m44.4s,46.062325
1068,Kepler-108,c,19h38m14.20s,294.559169,+46d03m44.4s,46.062325
1069,Kepler-1080,b,19h45m51.49s,296.464522,+49d10m58.5s,49.182915
1070,Kepler-1081,b,19h17m46.68s,289.444520,+41d19m03.9s,41.317757
1071,Kepler-1082,b,19h17m26.08s,289.358672,+50d35m54.5s,50.598484
1072,Kepler-1083,b,18h52m38.87s,283.161951,+45d11m53.9s,45.198315
1073,Kepler-1084,b,19h20m24.47s,290.101971,+48d15m04.1s,48.251137
1074,Kepler-1085,b,19h09m54.64s,287.477648,+46d08m28.3s,46.141186
1075,Kepler-1086,b,19h41m00.28s,295.251155,+45d50m34.7s,45.842972
1076,Kepler-1086,c,19h41m00.28s,295.251155,+45d50m34.7s,45.842972
1077,Kepler-1087,b,19h39m54.92s,294.978825,+46d00m20.4s,46.005653
1078,Kepler-1088,b,18h46m14.75s,281.561453,+42d27m01.8s,42.450504
1079,Kepler-1089,b,19h24m22.26s,291.092742,+49d11m24.2s,49.190059
1080,Kepler-109,b,19h21m34.25s,290.392721,+40d17m05.5s,40.284875
1081,Kepler-109,c,19h21m34.25s,290.392721,+40d17m05.5s,40.284875
1082,Kepler-1090,b,19h42m39.09s,295.662872,+44d31m33.0s,44.525845
1083,Kepler-1091,b,19h59m08.51s,299.785465,+43d40m14.7s,43.670753
1084,Kepler-1092,b,19h50m53.55s,297.723140,+47d06m45.6s,47.112659
1085,Kepler-1093,b,18h59m54.72s,284.978013,+41d25m12.6s,41.420166
1086,Kepler-1093,c,18h59m54.72s,284.978013,+41d25m12.6s,41.420166
1087,Kepler-1094,b,19h29m12.30s,292.301253,+38d16m01.3s,38.267041
1088,Kepler-1095,b,19h33m02.99s,293.262447,+41d21m54.4s,41.365114
1089,Kepler-1096,b,19h38m50.25s,294.709380,+45d58m10.2s,45.969501
1090,Kepler-1097,b,18h46m22.60s,281.594148,+42d35m47.1s,42.596416
1091,Kepler-1098,b,19h42m00.65s,295.502705,+43d13m58.1s,43.232796
1092,Kepler-1099,b,19h14m59.99s,288.749962,+48d16m37.8s,48.277176
1093,Kepler-11,b,19h48m27.63s,297.115123,+41d54m32.9s,41.909138
1094,Kepler-11,c,19h48m27.63s,297.115123,+41d54m32.9s,41.909138
1095,Kepler-11,d,19h48m27.63s,297.115123,+41d54m32.9s,41.909138
1096,Kepler-11,e,19h48m27.63s,297.115123,+41d54m32.9s,41.909138
1097,Kepler-11,f,19h48m27.63s,297.115123,+41d54m32.9s,41.909138
1098,Kepler-11,g,19h48m27.63s,297.115123,+41d54m32.9s,41.909138
1099,Kepler-110,b,19h31m42.99s,292.929133,+48d36m10.1s,48.602814
1100,Kepler-110,c,19h31m42.99s,292.929133,+48d36m10.1s,48.602814
1101,Kepler-1100,b,19h27m29.13s,291.871356,+44d05m14.6s,44.087376
1102,Kepler-1101,b,19h38m16.65s,294.569379,+45d40m16.5s,45.671257
1103,Kepler-1102,b,18h45m17.42s,281.322565,+48d03m59.4s,48.066505
1104,Kepler-1103,b,19h09m31.70s,287.382090,+49d27m08.6s,49.452396
1105,Kepler-1104,b,19h37m52.45s,294.468554,+49d19m51.7s,49.331024
1106,Kepler-1105,b,18h44m26.82s,281.111771,+42d27m17.8s,42.454931
1107,Kepler-1106,b,19h24m34.85s,291.145201,+44d03m45.2s,44.062546
1108,Kepler-1107,b,19h24m11.98s,291.049927,+39d08m30.0s,39.141674
1109,Kepler-1108,b,19h44m10.16s,296.042339,+45d59m06.5s,45.985146
1110,Kepler-1109,b,19h26m35.10s,291.646244,+39d23m47.8s,39.396624
1111,Kepler-111,b,19h26m36.76s,291.653170,+44d41m17.8s,44.688274
1112,Kepler-111,c,19h26m36.76s,291.653170,+44d41m17.8s,44.688274
1113,Kepler-1110,b,19h27m13.93s,291.808022,+38d37m21.7s,38.622703
1114,Kepler-1111,b,19h41m51.21s,295.463372,+45d48m45.9s,45.812744
1115,Kepler-1112,b,19h47m52.52s,296.968815,+47d45m05.4s,47.751488
1116,Kepler-1113,b,19h17m37.61s,289.406695,+39d20m19.8s,39.338834
1117,Kepler-1114,b,19h56m56.86s,299.236933,+45d50m04.9s,45.834698
1118,Kepler-1115,b,19h39m58.03s,294.991772,+40d08m39.9s,40.144409
1119,Kepler-1116,b,19h27m44.08s,291.933655,+44d06m55.8s,44.115505
1120,Kepler-1117,b,19h28m20.35s,292.084780,+49d14m14.9s,49.237480
1121,Kepler-1118,b,19h59m51.76s,299.965664,+44d09m39.2s,44.160896
1122,Kepler-1119,b,19h48m04.59s,297.019131,+44d19m39.1s,44.327522
1123,Kepler-112,b,19h47m55.44s,296.981009,+43d12m35.1s,43.209751
1124,Kepler-112,c,19h47m55.44s,296.981009,+43d12m35.1s,43.209751
1125,Kepler-1120,b,19h23m39.48s,290.914483,+42d17m11.7s,42.286579
1126,Kepler-1121,b,19h51m08.79s,297.786606,+47d53m10.1s,47.886127
1127,Kepler-1122,b,19h13m07.33s,288.280535,+46d20m27.3s,46.340904
1128,Kepler-1123,b,19h38m04.24s,294.517667,+50d40m13.4s,50.670399
1129,Kepler-1124,b,19h06m22.63s,286.594273,+37d53m28.6s,37.891266
1130,Kepler-1125,b,19h41m55.49s,295.481223,+40d43m55.1s,40.731980
1131,Kepler-1126,b,19h02m46.08s,285.691992,+45d41m21.8s,45.689396
1132,Kepler-1127,b,19h32m52.17s,293.217384,+42d43m14.5s,42.720707
1133,Kepler-1128,b,19h32m15.20s,293.063338,+39d24m12.4s,39.403444
1134,Kepler-1129,b,19h26m25.08s,291.604495,+41d18m33.7s,41.309361
1135,Kepler-1129,c,19h26m25.08s,291.604495,+41d18m33.7s,41.309361
1136,Kepler-113,b,19h11m59.49s,287.997883,+50d56m39.6s,50.944332
1137,Kepler-113,c,19h11m59.49s,287.997883,+50d56m39.6s,50.944332
1138,Kepler-1130,b,19h00m49.80s,285.207485,+45d23m03.7s,45.384350
1139,Kepler-1131,b,19h42m36.36s,295.651494,+49d15m40.7s,49.261295
1140,Kepler-1132,b,19h05m28.19s,286.367463,+48d25m26.2s,48.423935
1141,Kepler-1133,b,19h33m17.38s,293.322404,+42d52m02.9s,42.867470
1142,Kepler-1134,b,19h42m16.32s,295.567982,+42d28m41.8s,42.478287
1143,Kepler-1135,b,19h04m00.71s,286.002968,+44d45m23.7s,44.756592
1144,Kepler-1136,b,18h56m25.87s,284.107796,+44d14m44.9s,44.245808
1145,Kepler-1137,b,19h08m31.27s,287.130272,+48d39m55.3s,48.665375
1146,Kepler-1138,b,19h03m35.82s,285.899242,+48d18m26.3s,48.307301
1147,Kepler-1139,b,19h11m46.95s,287.945617,+39d13m50.0s,39.230568
1148,Kepler-114,b,19h36m29.14s,294.121421,+48d20m58.3s,48.349525
1149,Kepler-114,c,19h36m29.14s,294.121421,+48d20m58.3s,48.349525
1150,Kepler-114,d,19h36m29.14s,294.121421,+48d20m58.3s,48.349525
1151,Kepler-1140,b,18h46m46.56s,281.693981,+46d56m47.2s,46.946449
1152,Kepler-1141,b,19h22m10.47s,290.543645,+47d43m33.2s,47.725880
1153,Kepler-1142,b,19h30m51.46s,292.714435,+44d04m56.4s,44.082336
1154,Kepler-1143,b,19h09m12.68s,287.302821,+39d17m22.9s,39.289688
1155,Kepler-1143,c,19h09m12.68s,287.302821,+39d17m22.9s,39.289688
1156,Kepler-1144,b,19h20m10.39s,290.043293,+47d15m28.7s,47.257977
1157,Kepler-1145,b,19h41m13.96s,295.308161,+43d02m39.9s,43.044415
1158,Kepler-1146,b,19h06m51.99s,286.716626,+47d25m32.3s,47.425633
1159,Kepler-1147,b,19h30m11.41s,292.547537,+41d38m34.6s,41.642956
1160,Kepler-1148,b,19h23m48.85s,290.953557,+45d43m10.3s,45.719536
1161,Kepler-1149,b,19h36m45.42s,294.189260,+45d09m05.7s,45.151577
1162,Kepler-115,b,19h50m50.84s,297.711849,+45d15m42.9s,45.261925
1163,Kepler-115,c,19h50m50.84s,297.711849,+45d15m42.9s,45.261925
1164,Kepler-1150,b,19h46m53.88s,296.724492,+49d31m57.8s,49.532715
1165,Kepler-1151,b,19h28m59.47s,292.247793,+47d52m42.4s,47.878452
1166,Kepler-1152,b,19h21m44.17s,290.434033,+44d06m27.5s,44.107651
1167,Kepler-1153,b,19h16m35.33s,289.147217,+45d51m58.2s,45.866181
1168,Kepler-1154,b,19h49m54.51s,297.477127,+39d52m38.1s,39.877247
1169,Kepler-1154,c,19h49m54.51s,297.477127,+39d52m38.1s,39.877247
1170,Kepler-1155,b,19h15m16.94s,288.820587,+39d31m22.2s,39.522827
1171,Kepler-1156,b,19h15m41.77s,288.924024,+46d03m27.5s,46.057632
1172,Kepler-1157,b,18h52m29.05s,283.121049,+43d31m32.3s,43.525642
1173,Kepler-1158,b,19h28m56.15s,292.233946,+41d34m30.8s,41.575213
1174,Kepler-1159,b,19h37m03.92s,294.266335,+45d12m15.5s,45.204315
1175,Kepler-116,b,19h38m58.10s,294.742070,+43d32m12.6s,43.536835
1176,Kepler-116,c,19h38m58.10s,294.742070,+43d32m12.6s,43.536835
1177,Kepler-1160,b,19h11m31.05s,287.879384,+43d21m50.7s,43.364075
1178,Kepler-1161,b,19h56m18.50s,299.077103,+45d26m26.3s,45.440640
1179,Kepler-1162,b,18h53m10.11s,283.292130,+45d26m02.8s,45.434116
1180,Kepler-1163,b,19h20m56.60s,290.235843,+50d01m48.3s,50.030087
1181,Kepler-1164,b,19h10m07.11s,287.529634,+38d53m40.2s,38.894513
1182,Kepler-1165,b,19h07m53.10s,286.971267,+44d42m29.9s,44.708302
1183,Kepler-1166,b,19h21m23.64s,290.348519,+50d54m10.3s,50.902855
1184,Kepler-1167,b,19h53m12.65s,298.302714,+47d41m38.5s,47.694023
1185,Kepler-1168,b,19h09m11.45s,287.297694,+47d27m19.6s,47.455437
1186,Kepler-1169,b,19h39m38.78s,294.911573,+46d29m29.3s,46.491463
1187,Kepler-117,b,19h15m10.33s,288.793037,+48d02m24.8s,48.040234
1188,Kepler-117,c,19h15m10.33s,288.793037,+48d02m24.8s,48.040234
1189,Kepler-1170,b,19h28m40.46s,292.168580,+43d46m46.8s,43.779675
1190,Kepler-1171,b,19h39m50.14s,294.958925,+38d35m29.7s,38.591578
1191,Kepler-1172,b,19h21m53.88s,290.474507,+37d45m59.8s,37.766598
1192,Kepler-1173,b,19h32m31.46s,293.131095,+45d39m48.8s,45.663548
1193,Kepler-1174,b,18h47m19.55s,281.831445,+42d17m56.1s,42.298916
1194,Kepler-1175,b,19h16m34.25s,289.142702,+46d48m46.4s,46.812897
1195,Kepler-1176,b,19h51m40.73s,297.919728,+45d16m27.0s,45.274162
1196,Kepler-1177,b,19h06m41.14s,286.671437,+49d24m22.6s,49.406288
1197,Kepler-1178,b,19h13m49.45s,288.456062,+45d48m07.6s,45.802124
1198,Kepler-1179,b,18h56m23.43s,284.097640,+47d48m38.3s,47.810638
1199,Kepler-118,b,19h56m51.16s,299.213164,+41d25m29.4s,41.424824
1200,Kepler-118,c,19h56m51.16s,299.213164,+41d25m29.4s,41.424824
1201,Kepler-1180,b,19h43m33.00s,295.887510,+43d09m21.8s,43.156063
1202,Kepler-1181,b,19h18m59.36s,289.747314,+39d31m24.5s,39.523468
1203,Kepler-1182,b,19h45m13.91s,296.307949,+43d49m16.9s,43.821350
1204,Kepler-1183,b,19h28m55.78s,292.232425,+38d53m32.0s,38.892222
1205,Kepler-1184,b,19h25m07.69s,291.282055,+46d57m57.6s,46.965996
1206,Kepler-1185,b,19h08m57.88s,287.241174,+39d19m57.9s,39.332757
1207,Kepler-1186,b,19h13m55.11s,288.479641,+47d06m06.4s,47.101768
1208,Kepler-1187,b,19h07m34.08s,286.892005,+38d19m06.8s,38.318556
1209,Kepler-1188,b,18h52m24.92s,283.103838,+43d08m53.0s,43.148045
1210,Kepler-1189,b,19h53m42.32s,298.426343,+47d56m48.4s,47.946785
1211,Kepler-119,b,19h43m47.14s,295.946421,+42d39m32.1s,42.658924
1212,Kepler-119,c,19h43m47.14s,295.946421,+42d39m32.1s,42.658924
1213,Kepler-1190,b,18h59m59.91s,284.999621,+49d28m47.9s,49.479977
1214,Kepler-1191,b,19h26m37.87s,291.657776,+48d00m33.5s,48.009315
1215,Kepler-1192,b,18h48m33.74s,282.140566,+43d53m47.7s,43.896580
1216,Kepler-1193,b,19h12m34.74s,288.144759,+51d16m32.3s,51.275627
1217,Kepler-1194,b,19h26m47.89s,291.699538,+38d08m43.0s,38.145265
1218,Kepler-1195,b,18h57m24.26s,284.351087,+40d51m10.7s,40.852979
1219,Kepler-1196,b,19h29m28.69s,292.369561,+43d54m38.9s,43.910809
1220,Kepler-1197,b,19h26m40.63s,291.669272,+42d35m26.6s,42.590710
1221,Kepler-1198,b,19h15m20.16s,288.834008,+44d50m17.7s,44.838249
1222,Kepler-1199,b,19h34m54.21s,293.725872,+47d14m49.4s,47.247044
1223,Kepler-12,b,19h04m58.42s,286.243425,+50d02m25.4s,50.040382
1224,Kepler-120,b,19h11m33.99s,287.891632,+39d20m20.8s,39.339124
1225,Kepler-120,c,19h11m33.99s,287.891632,+39d20m20.8s,39.339124
1226,Kepler-1200,b,19h46m24.83s,296.603451,+44d07m45.3s,44.129257
1227,Kepler-1201,b,19h38m27.56s,294.614827,+40d49m59.4s,40.833172
1228,Kepler-1202,b,19h29m09.75s,292.290612,+44d39m11.7s,44.653255
1229,Kepler-1203,b,19h31m05.61s,292.773384,+44d10m41.3s,44.178127
1230,Kepler-1204,b,19h17m45.96s,289.441483,+42d29m53.3s,42.498135
1231,Kepler-1205,b,19h21m07.13s,290.279709,+41d30m54.2s,41.515049
1232,Kepler-1206,b,19h43m45.22s,295.938407,+49d47m28.1s,49.791145
1233,Kepler-1207,b,19h40m15.42s,295.064243,+49d21m32.4s,49.358994
1234,Kepler-1208,b,19h27m31.50s,291.881263,+44d33m20.6s,44.555729
1235,Kepler-1209,b,19h10m20.37s,287.584891,+49d09m17.3s,49.154793
1236,Kepler-121,b,19h04m38.90s,286.162064,+39d40m40.8s,39.677995
1237,Kepler-121,c,19h04m38.90s,286.162064,+39d40m40.8s,39.677995
1238,Kepler-1210,b,19h31m19.71s,292.832145,+48d13m09.7s,48.219357
1239,Kepler-1211,b,19h02m52.99s,285.720788,+40d51m25.1s,40.856961
1240,Kepler-1212,b,19h47m24.82s,296.853432,+50d02m14.5s,50.037354
1241,Kepler-1213,b,19h17m56.60s,289.485822,+50d56m39.0s,50.944164
1242,Kepler-1214,b,19h00m34.23s,285.142638,+49d48m02.4s,49.800667
1243,Kepler-1215,b,19h49m51.27s,297.463622,+48d10m53.1s,48.181416
1244,Kepler-1216,b,19h09m37.28s,287.405321,+45d55m04.8s,45.918007
1245,Kepler-1217,b,19h16m44.80s,289.186676,+50d56m15.2s,50.937557
1246,Kepler-1218,b,19h26m18.96s,291.578982,+44d31m54.2s,44.531715
1247,Kepler-1219,b,19h48m51.79s,297.215809,+47d22m42.7s,47.378515
1248,Kepler-122,b,19h24m26.85s,291.111883,+39d56m56.8s,39.949104
1249,Kepler-122,c,19h24m26.85s,291.111883,+39d56m56.8s,39.949104
1250,Kepler-122,d,19h24m26.85s,291.111883,+39d56m56.8s,39.949104
1251,Kepler-122,e,19h24m26.85s,291.111883,+39d56m56.8s,39.949104
1252,Kepler-122,f,19h24m26.85s,291.111883,+39d56m56.8s,39.949104
1253,Kepler-1220,b,19h48m16.89s,297.070369,+42d58m39.9s,42.977741
1254,Kepler-1221,b,19h03m17.36s,285.822349,+45d42m42.8s,45.711891
1255,Kepler-1222,b,19h39m33.52s,294.889655,+49d22m47.2s,49.379768
1256,Kepler-1223,b,19h01m10.98s,285.295750,+44d33m09.9s,44.552753
1257,Kepler-1224,b,19h06m30.18s,286.625763,+37d32m14.3s,37.537304
1258,Kepler-1225,b,19h22m31.99s,290.633291,+40d08m13.2s,40.136994
1259,Kepler-1226,b,19h45m30.46s,296.376909,+50d37m17.3s,50.621468
1260,Kepler-1227,b,19h08m15.93s,287.066378,+41d52m29.7s,41.874908
1261,Kepler-1228,b,19h46m12.74s,296.553083,+46d57m58.6s,46.966290
1262,Kepler-1229,b,19h49m56.81s,297.486691,+46d59m48.2s,46.996716
1263,Kepler-123,b,19h47m59.67s,296.998621,+42d46m55.0s,42.781956
1264,Kepler-123,c,19h47m59.67s,296.998621,+42d46m55.0s,42.781956
1265,Kepler-1230,b,18h53m03.48s,283.264500,+41d42m41.2s,41.711449
1266,Kepler-1231,b,19h14m21.21s,288.588357,+42d36m20.4s,42.605659
1267,Kepler-1232,b,19h46m12.01s,296.550043,+49d06m08.4s,49.102322
1268,Kepler-1233,b,19h49m30.02s,297.375101,+46d39m44.0s,46.662216
1269,Kepler-1234,b,19h10m05.29s,287.522025,+51d22m33.1s,51.375860
1270,Kepler-1235,b,18h59m36.72s,284.903015,+43d57m14.3s,43.953960
1271,Kepler-1236,b,19h42m29.93s,295.624706,+42d32m45.2s,42.545898
1272,Kepler-1237,b,19h42m31.02s,295.629266,+44d41m26.2s,44.690620
1273,Kepler-1238,b,19h51m37.39s,297.905795,+40d09m46.3s,40.162858
1274,Kepler-1239,b,19h32m30.57s,293.127381,+42d19m12.4s,42.320103
1275,Kepler-124,b,19h07m00.67s,286.752797,+49d03m53.7s,49.064911
1276,Kepler-124,c,19h07m00.67s,286.752797,+49d03m53.7s,49.064911
1277,Kepler-124,d,19h07m00.67s,286.752797,+49d03m53.7s,49.064911
1278,Kepler-1240,b,18h51m59.93s,282.999715,+40d33m26.8s,40.557450
1279,Kepler-1241,b,19h38m18.30s,294.576248,+38d27m25.1s,38.456974
1280,Kepler-1242,b,18h58m25.49s,284.606210,+41d11m47.0s,41.196384
1281,Kepler-1243,b,19h36m02.27s,294.009462,+42d52m50.8s,42.880772
1282,Kepler-1244,b,18h49m12.29s,282.301216,+46d30m58.3s,46.516201
1283,Kepler-1245,b,19h22m58.64s,290.744327,+43d15m38.8s,43.260777
1284,Kepler-1245,c,19h22m58.64s,290.744327,+43d15m38.8s,43.260777
1285,Kepler-1246,b,19h10m37.78s,287.657402,+48d58m55.8s,48.982166
1286,Kepler-1247,b,19h38m08.05s,294.533553,+46d37m05.8s,46.618271
1287,Kepler-1248,b,19h12m14.24s,288.059319,+51d21m16.0s,51.354454
1288,Kepler-1249,b,19h47m34.77s,296.894856,+44d22m18.4s,44.371780
1289,Kepler-125,b,19h53m01.95s,298.258123,+47d36m17.8s,47.604946
1290,Kepler-125,c,19h53m01.95s,298.258123,+47d36m17.8s,47.604946
1291,Kepler-1250,b,19h11m10.53s,287.793862,+45d58m48.9s,45.980240
1292,Kepler-1251,b,19h28m27.64s,292.115153,+49d15m23.1s,49.256428
1293,Kepler-1252,b,19h55m48.08s,298.950318,+46d41m34.1s,46.692799
1294,Kepler-1253,b,18h55m32.43s,283.885115,+47d38m14.0s,47.637222
1295,Kepler-1254,b,19h00m41.60s,285.173326,+48d46m12.2s,48.770042
